User_Hash,Student_ID,Group,Previous_Classes,Test,Q1_Points,Q2_Points,Q3_Points,Q4_Points,Q5_Points,Q6_Points,Q7_Points,Q8_Points,Q9_Points,Projects_Total,Paths_Total,Overall_Total
"""96eb0673c18b9fa79740686995b1d970""",1,Control,1,Pre,2,-1,-1,1,1,1,2,1,1,3,4,7
"""980a97cbb16783a0c9b124da05717636""",2,Control,1,Pre,2,0,0,0,0,1,-2,-3,2,3,-3,0
"""d175e99a9a0e22fa8ba2f1013511a7eb""",3,Fertile,2,Pre,1,-1,-1,1,-1,1,0,-1,1,0,0,0
"""464941fcb62272573651a378d7921448""",4,Fertile,1,Pre,2,-1,0,1,1,1,0,-2,1,4,-1,3
"""b7637ee07f0b80fb2813a7b9ad1ca033""",5,Fertile,1,Pre,1,1,0,0,0,1,3,2,1,3,6,9
"""e77a6e1a571afebb4a512bacd45e5318""",6,Control,4,Pre,3,1,1,1,1,1,2,1,1,8,4,12
"""eabcc650eccffc67f616afe0eee6f14a""",7,Fertile,3,Pre,2,1,-1,1,-1,0,3,2,-2,2,3,5
"""d99a430f21460483ddbe49e3d9258d67""",8,Control,0,Pre,2,0,0,0,0,1,1,0,0,3,1,4
"""71a5d9592ce3b9c6663b37aeefb902ce""",9,Control,0,Pre,1,0,0,1,0,1,2,1,-2,3,1,4
"""9431ebaba914f701603419bd014fdcd2""",10,Fertile,1,Pre,2,-1,-1,1,-1,1,3,2,2,1,7,8
"""93f6302126c5f084bdbfedb193bea2eb""",11,Control,1,Pre,1,-1,0,-1,1,1,1,1,-1,1,1,2
"""14f042097567bb7b9f85d3a8e87e0814""",12,Fertile,4,Pre,2,0,0,1,0,1,2,1,-2,4,1,5
"""f20f5c297059a57ff07a8e866e4c16a3""",13,Control,3,Pre,2,1,1,1,1,1,3,2,2,7,7,14
"""ba743ea117b76f7ec554fe661de8741a""",14,Fertile,4,Pre,1,-1,-1,1,1,1,3,2,2,2,7,9
"""692ad5efd2f42ac7e2473d02a7a76c47""",15,Control,2,Pre,2,-1,0,1,0,1,2,1,-1,3,2,5
"""602af357eb42089c63aa4568b697a992""",16,Control,4,Pre,1,0,0,0,0,1,2,1,1,2,4,6
"""ff58ca18711554597335d1ec7c3dce9b""",17,Fertile,4,Pre,1,1,1,1,1,1,-1,-2,-2,6,-5,1
"""b53559d80fc3f202196f93bdb46fad4e""",18,Fertile,0,Pre,2,0,0,0,0,-1,1,-1,-1,1,-1,0
"""27f73fe648662a617d527e049183cc61""",19,Fertile,1,Pre,2,0,0,0,0,1,-2,-2,2,3,-2,1
"""f7b0a9d5117b88cecec122f8ba0e52fb""",20,Fertile,0,Pre,2,0,0,0,0,0,-1,0,2,2,1,3
"""f7b0a9d5117b88cecec122f8ba0e52fb""",21,Fertile,0,Pre,1,0,0,0,1,1,-1,-2,1,3,-2,1
"""665bdb2c93a0c4f1f03b57f1d638a71b""",22,Fertile,3,Pre,2,1,1,1,1,1,3,2,2,7,7,14
"""65a2b8c5a3de0f21f01f57e4e8d19909""",23,Control,2,Pre,2,-1,-1,1,1,1,3,2,2,3,7,10
"""f7b0a9d5117b88cecec122f8ba0e52fb""",24,Fertile,1,Pre,1,0,0,0,0,1,1,1,1,2,3,5
"""9803c499b3bcfb724abad3d630693ab4""",25,Control,2,Pre,-1,1,1,0,-1,1,3,2,-3,1,2,3
"""29537371dcbf80db26bfea942da2c9de""",26,Control,1,Pre,1,-1,-1,1,1,1,-1,-3,-1,2,-5,-3
"""4ec8e2ba97f68c60f1c25f2718273a23""",27,Control,3,Pre,0,-1,0,1,-1,1,2,1,-1,0,2,2
"""3e125c32c8035ae26bb2e55901788d20""",28,Control,2,Pre,1,0,0,0,0,1,0,1,1,2,2,4
"""65bc657110b4c17827e6217cc89c8a0a""",29,Control,1,Pre,1,0,0,0,0,1,3,2,-2,2,3,5
"""3d58a52a30a99e73a00d26e19fe3ec67""",30,Fertile,2,Pre,2,-1,-1,1,1,0,3,2,2,2,7,9
"""1de8eccf4972a8da4545966163daf87c""",31,Control,1,Pre,3,1,1,-1,-1,0,1,1,1,3,3,6
"""3bae07fd2bea3a42a70eb2fdbcfca2f6""",32,Fertile,1,Pre,1,0,0,0,0,-1,2,1,-2,0,1,1
"""2a465c685bb02b1e91daed785236f9b3""",33,Control,1,Pre,2,-1,0,1,-1,0,1,1,-2,1,0,1
"""8607f58758fc4d6e16cfb7ced9f85962""",34,Fertile,1,Pre,1,-1,0,0,-1,0,2,1,1,-1,4,3
"""c2a154e3fdcc1a8af48b5ce11a160081""",35,Control,5,Pre,1,-1,0,1,-1,-1,2,1,2,-1,5,4
"""6120e7f050e52f7f34861b9d8da02488""",36,Control,1,Pre,1,-1,-1,1,1,1,2,1,1,2,4,6
"""d50bbcdddb977aa2f93ef2d26151b6ae""",37,Fertile,5,Pre,1,-1,1,1,1,1,2,1,2,4,5,9
"""6348df828251973f6391bf99d44f9615""",38,Control,3,Pre,2,0,0,0,0,0,2,0,1,2,3,5
"""d175e99a9a0e22fa8ba2f1013511a7eb""",3,Fertile,2,Post,3,-1,-1,1,1,1,-2,-3,2,4,-3,1
"""464941fcb62272573651a378d7921448""",4,Fertile,1,Post,3,-1,0,1,1,1,3,2,0,5,5,10
"""1de8eccf4972a8da4545966163daf87c""",31,Control,1,Post,1,1,1,1,1,0,2,1,1,5,4,9
"""b7637ee07f0b80fb2813a7b9ad1ca033""",5,Fertile,1,Post,1,1,1,1,1,1,3,2,2,6,7,13
"""3e125c32c8035ae26bb2e55901788d20""",28,Control,2,Post,2,-1,0,0,-1,-1,2,1,-2,-1,1,0
"""eabcc650eccffc67f616afe0eee6f14a""",7,Fertile,3,Post,3,1,-1,1,1,1,3,2,-3,6,2,8
"""602af357eb42089c63aa4568b697a992""",16,Control,4,Post,1,-1,-1,1,1,1,2,1,-1,2,2,4
"""e77a6e1a571afebb4a512bacd45e5318""",6,Control,4,Post,2,1,1,-1,1,1,3,2,2,5,7,12
"""665bdb2c93a0c4f1f03b57f1d638a71b""",22,Fertile,3,Post,3,1,1,1,1,1,2,1,1,8,4,12
"""ff58ca18711554597335d1ec7c3dce9b""",17,Fertile,4,Post,2,1,1,-1,1,1,-1,-2,-2,5,-5,0
"""71a5d9592ce3b9c6663b37aeefb902ce""",9,Control,0,Post,3,-1,1,1,1,1,2,1,2,6,5,11
"""6348df828251973f6391bf99d44f9615""",38,Control,3,Post,1,-1,-1,-1,-1,-2,1,0,-3,-5,-2,-7
"""9431ebaba914f701603419bd014fdcd2""",10,Fertile,1,Post,2,1,-1,1,-1,1,0,1,-2,3,-1,2
"""14f042097567bb7b9f85d3a8e87e0814""",12,Fertile,4,Post,3,-1,0,1,1,0,0,0,1,4,1,5
"""f20f5c297059a57ff07a8e866e4c16a3""",13,Control,3,Post,3,1,1,1,1,1,2,1,2,8,5,13
"""3bae07fd2bea3a42a70eb2fdbcfca2f6""",32,Fertile,1,Post,2,-1,0,1,0,1,2,-2,2,3,2,5
"""c2a154e3fdcc1a8af48b5ce11a160081""",35,Control,5,Post,3,-1,1,1,1,0,2,1,2,5,5,10
"""980a97cbb16783a0c9b124da05717636""",2,Control,1,Post,3,-1,-1,1,1,1,3,2,2,4,7,11
"""3d58a52a30a99e73a00d26e19fe3ec67""",30,Fertile,2,Post,1,-1,-1,1,1,1,3,2,2,2,7,9
"""96eb0673c18b9fa79740686995b1d970""",1,Control,1,Post,3,1,1,1,1,1,2,1,1,8,4,12
"""692ad5efd2f42ac7e2473d02a7a76c47""",15,Control,2,Post,3,-1,-1,1,1,0,2,1,-1,3,2,5
"""f7b0a9d5117b88cecec122f8ba0e52fb""",20,Fertile,0,Post,1,-1,0,1,-1,0,-1,-2,1,0,-2,-2
"""29537371dcbf80db26bfea942da2c9de""",26,Control,1,Post,2,-1,-1,1,-1,1,3,2,2,1,7,8
"""27f73fe648662a617d527e049183cc61""",19,Fertile,1,Post,3,-1,0,1,-1,1,2,0,0,3,2,5
"""9803c499b3bcfb724abad3d630693ab4""",25,Control,2,Post,3,1,1,1,1,1,-1,-2,2,8,-1,7
"""65bc657110b4c17827e6217cc89c8a0a""",29,Control,1,Post,3,1,1,1,-1,1,2,1,1,6,4,10
"""4ec8e2ba97f68c60f1c25f2718273a23""",27,Control,3,Post,1,1,-1,1,-1,0,3,2,1,1,6,7
"""f7b0a9d5117b88cecec122f8ba0e52fb""",24,Fertile,1,Post,2,1,1,1,-1,0,3,2,2,4,7,11
"""d50bbcdddb977aa2f93ef2d26151b6ae""",37,Fertile,5,Post,3,1,1,1,1,1,3,2,2,8,7,15
"""93f6302126c5f084bdbfedb193bea2eb""",11,Control,1,Post,2,1,1,-1,1,1,2,1,1,5,4,9
"""f7b0a9d5117b88cecec122f8ba0e52fb""",21,Fertile,0,Post,1,1,1,1,1,1,0,-1,2,6,1,7
"""d99a430f21460483ddbe49e3d9258d67""",8,Control,0,Post,3,-1,-1,1,-1,1,-1,-2,0,2,-3,-1
